Profile Name,Game Handle,Profile Creation Time,Maturity Level,Primary Lang,Has Auto Playback,Max Stream Quality,Profile Lock Enabled,Profile Transferred,Profile Transfer Time,Profile Transferred From Account,Profile Transferred To Account,Date Of Birth,Gender,Opt-Out,Privacy And Data Settings
User 0,,29-10-2021 05:42,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,{},
User 1,,29-10-2021 05:42,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,{},
User 2,,29-10-2021 05:42,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,{},
User 3,,29-10-2021 05:42,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,{},
User 4,,29-10-2021 05:19,ADULTS,en-IN,,Unknown,FALSE,FALSE,,,,,,{},
User 5,,7/1/23 14:07,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,,{}
User 6,,13-06-2022 18:09,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,,{}
User 7,,5/6/22 16:43,ADULTS,en-IN,1,Unknown,FALSE,FALSE,,,,,,,{}
User 8,,1/6/22 13:24,ADULTS,en-IN,,Unknown,FALSE,FALSE,,,,,,,{}
